inventory_snapshot_id,snapshot_date,product_id,channel_id,on_hand_qty,on_order_qty,units_sold_in_week,reorder_point,is_stockout
INV-0000001,2023-01-16,APP-0005,CH-NE-01,140,0,5,36,False
INV-0000002,2023-01-16,APP-0005,CH-MW-01,143,0,2,36,False
INV-0000003,2023-01-16,APP-0005,CH-WE-01,137,0,8,36,False
INV-0000004,2023-01-16,APP-0005,CH-ON-01,137,0,8,36,False
INV-0000005,2023-01-16,APP-0005,CH-WS-01,143,0,2,36,False
INV-0000006,2023-01-23,APP-0005,CH-NE-01,124,0,16,36,False
INV-0000007,2023-01-23,APP-0005,CH-MW-01,137,0,6,36,False
INV-0000008,2023-01-23,APP-0005,CH-WE-01,120,0,17,36,False
INV-0000009,2023-01-23,APP-0005,CH-ON-01,134,0,3,36,False
INV-0000010,2023-01-23,APP-0005,CH-WS-01,142,0,1,36,False
INV-0000011,2023-01-30,APP-0005,CH-NE-01,115,0,9,36,False
INV-0000012,2023-01-30,APP-0005,CH-MW-01,135,0,2,36,False
INV-0000013,2023-01-30,APP-0005,CH-WE-01,101,0,19,36,False
INV-0000014,2023-01-30,APP-0005,CH-ON-01,122,0,12,36,False
INV-0000015,2023-01-30,APP-0005,CH-WS-01,140,0,2,36,False
INV-0000016,2023-01-30,HOM-0032,CH-NE-01,64,0,6,28,False
INV-0000017,2023-01-30,HOM-0032,CH-MW-01,66,0,4,28,False
INV-0000018,2023-01-30,HOM-0032,CH-WE-01,61,0,9,28,False
INV-0000019,2023-01-30,HOM-0032,CH-ON-01,58,0,12,28,False
INV-0000020,2023-01-30,HOM-0032,CH-WS-01,68,0,2,28,False
INV-0000021,2023-02-06,APP-0005,CH-NE-01,109,0,6,36,False
INV-0000022,2023-02-06,APP-0005,CH-MW-01,128,0,7,36,False
INV-0000023,2023-02-06,APP-0005,CH-WE-01,84,0,17,36,False
INV-0000024,2023-02-06,APP-0005,CH-ON-01,108,0,14,36,False
INV-0000025,2023-02-06,APP-0005,CH-WS-01,130,0,10,36,False
INV-0000026,2023-02-06,HOM-0032,CH-NE-01,53,0,11,28,False
INV-0000027,2023-02-06,HOM-0032,CH-MW-01,59,0,7,28,False
INV-0000028,2023-02-06,HOM-0032,CH-WE-01,57,0,4,28,False
INV-0000029,2023-02-06,HOM-0032,CH-ON-01,42,0,16,28,False
INV-0000030,2023-02-06,HOM-0032,CH-WS-01,60,0,8,28,False
INV-0000031,2023-02-13,APP-0005,CH-NE-01,104,0,5,36,False
INV-0000032,2023-02-13,APP-0005,CH-MW-01,125,0,3,36,False
INV-0000033,2023-02-13,APP-0005,CH-WE-01,75,0,9,36,False
INV-0000034,2023-02-13,APP-0005,CH-ON-01,98,0,10,36,False
INV-0000035,2023-02-13,APP-0005,CH-WS-01,130,0,0,36,False
INV-0000036,2023-02-13,HOM-0032,CH-NE-01,38,0,15,28,False
INV-0000037,2023-02-13,HOM-0032,CH-MW-01,50,0,9,28,False
INV-0000038,2023-02-13,HOM-0032,CH-WE-01,46,0,11,28,False
INV-0000039,2023-02-13,HOM-0032,CH-ON-01,27,51,15,28,False
INV-0000040,2023-02-13,HOM-0032,CH-WS-01,60,0,0,28,False
INV-0000041,2023-02-20,APP-0005,CH-NE-01,89,0,15,36,False
INV-0000042,2023-02-20,APP-0005,CH-MW-01,121,0,4,36,False
INV-0000043,2023-02-20,APP-0005,CH-WE-01,68,0,7,36,False
INV-0000044,2023-02-20,APP-0005,CH-ON-01,93,0,5,36,False
INV-0000045,2023-02-20,APP-0005,CH-WS-01,125,0,5,36,False
INV-0000046,2023-02-20,HOM-0032,CH-NE-01,35,0,3,28,False
INV-0000047,2023-02-20,HOM-0032,CH-MW-01,46,0,4,28,False
INV-0000048,2023-02-20,HOM-0032,CH-WE-01,31,0,15,28,False
INV-0000049,2023-02-20,HOM-0032,CH-ON-01,71,0,7,28,False
INV-0000050,2023-02-20,HOM-0032,CH-WS-01,59,0,1,28,False
INV-0000051,2023-02-27,APP-0005,CH-NE-01,80,0,9,36,False
INV-0000052,2023-02-27,APP-0005,CH-MW-01,116,0,5,36,False
INV-0000053,2023-02-27,APP-0005,CH-WE-01,58,0,10,36,False
INV-0000054,2023-02-27,APP-0005,CH-ON-01,72,0,21,36,False
INV-0000055,2023-02-27,APP-0005,CH-WS-01,122,0,3,36,False
INV-0000056,2023-02-27,HOM-0032,CH-NE-01,23,35,12,28,False
INV-0000057,2023-02-27,HOM-0032,CH-MW-01,41,0,5,28,False
INV-0000058,2023-02-27,HOM-0032,CH-WE-01,28,36,3,28,False
INV-0000059,2023-02-27,HOM-0032,CH-ON-01,68,0,3,28,False
INV-0000060,2023-02-27,HOM-0032,CH-WS-01,59,0,0,28,False
INV-0000061,2023-03-06,APP-0005,CH-NE-01,70,0,10,36,False
INV-0000062,2023-03-06,APP-0005,CH-MW-01,111,0,5,36,False
INV-0000063,2023-03-06,APP-0005,CH-WE-01,36,99,22,36,False
INV-0000064,2023-03-06,APP-0005,CH-ON-01,55,0,17,36,False
INV-0000065,2023-03-06,APP-0005,CH-WS-01,118,0,4,36,False
INV-0000066,2023-03-06,HOM-0032,CH-NE-01,47,0,11,28,False
INV-0000067,2023-03-06,HOM-0032,CH-MW-01,37,0,4,28,False
INV-0000068,2023-03-06,HOM-0032,CH-WE-01,56,0,8,28,False
INV-0000069,2023-03-06,HOM-0032,CH-ON-01,52,0,16,28,False
INV-0000070,2023-03-06,HOM-0032,CH-WS-01,57,0,2,28,False
INV-0000071,2023-03-13,APP-0005,CH-NE-01,59,0,11,36,False
INV-0000072,2023-03-13,APP-0005,CH-MW-01,95,0,16,36,False
INV-0000073,2023-03-13,APP-0005,CH-WE-01,130,0,5,36,False
