product_id,sku,product_name,category,subcategory,unit_cost,list_price,launch_date,discontinued_date,reorder_point,target_stock_level,is_active
APP-0001,APP00001,Outerwear Apparel Item 01,Apparel,Outerwear,28.86,54.29,2023-09-01,,33,129,True
APP-0002,APP00002,Outerwear Apparel Item 02,Apparel,Outerwear,60.82,131.6,2023-08-21,,23,143,True
APP-0003,APP00003,Outerwear Apparel Item 03,Apparel,Outerwear,56.07,108.58,2023-08-03,,15,75,True
APP-0004,APP00004,Outerwear Apparel Item 04,Apparel,Outerwear,51.21,89.76,2024-04-15,,39,109,True
APP-0005,APP00005,Outerwear Apparel Item 05,Apparel,Outerwear,37.76,75.93,2023-01-12,,36,145,True
APP-0006,APP00006,Basics Apparel Item 01,Apparel,Basics,13.39,40.89,2024-03-10,,38,68,True
APP-0007,APP00007,Basics Apparel Item 02,Apparel,Basics,11.79,35.47,2023-04-10,,28,93,True
APP-0008,APP00008,Basics Apparel Item 03,Apparel,Basics,12.4,32.56,2023-12-20,,17,131,True
APP-0009,APP00009,Basics Apparel Item 04,Apparel,Basics,6.88,17.01,2024-02-10,,21,70,True
APP-0010,APP00010,Basics Apparel Item 05,Apparel,Basics,9.5,21.41,2023-04-15,,34,111,True
APP-0011,APP00011,Basics Apparel Item 06,Apparel,Basics,13.73,35.37,2023-05-20,,44,154,True
FTW-0012,FTW00012,Sneakers Footwear Item 01,Footwear,Sneakers,31.78,54.42,2024-04-02,,42,84,True
FTW-0013,FTW00013,Sneakers Footwear Item 02,Footwear,Sneakers,32.17,57.99,2024-05-16,,29,63,True
FTW-0014,FTW00014,Sneakers Footwear Item 03,Footwear,Sneakers,26.37,44.75,2024-01-18,,27,132,True
FTW-0015,FTW00015,Sneakers Footwear Item 04,Footwear,Sneakers,41.26,73.35,2023-07-15,,40,81,True
FTW-0016,FTW00016,Sneakers Footwear Item 05,Footwear,Sneakers,39.63,75.42,2024-09-11,,36,126,True
ACC-0017,ACC00017,Bags Accessories Item 01,Accessories,Bags,25.67,53.87,2023-12-09,,31,117,True
ACC-0018,ACC00018,Bags Accessories Item 02,Accessories,Bags,39.49,80.79,2024-07-10,,24,73,True
ACC-0019,ACC00019,Bags Accessories Item 03,Accessories,Bags,18.66,37.96,2024-05-02,,38,106,True
ACC-0020,ACC00020,Bags Accessories Item 04,Accessories,Bags,31.19,62.23,2024-06-02,,23,69,True
ACC-0021,ACC00021,Small Leather Goods Accessories Item 01,Accessories,Small Leather Goods,7.81,17.72,2023-06-21,2024-08-01,36,125,False
ACC-0022,ACC00022,Small Leather Goods Accessories Item 02,Accessories,Small Leather Goods,10.83,29.19,2024-07-06,,24,149,True
ACC-0023,ACC00023,Small Leather Goods Accessories Item 03,Accessories,Small Leather Goods,10.23,24.2,2024-04-18,,37,91,True
ACC-0024,ACC00024,Small Leather Goods Accessories Item 04,Accessories,Small Leather Goods,12.46,27.1,2023-07-13,,16,150,True
HOM-0025,HOM00025,Kitchen Home Item 01,Home,Kitchen,16.27,27.2,2023-06-02,,40,103,True
HOM-0026,HOM00026,Kitchen Home Item 02,Home,Kitchen,18.9,32.03,2023-06-12,,26,64,True
HOM-0027,HOM00027,Kitchen Home Item 03,Home,Kitchen,10.77,18.09,2023-07-08,,43,93,True
HOM-0028,HOM00028,Kitchen Home Item 04,Home,Kitchen,25.97,53.4,2024-04-06,,24,73,True
HOM-0029,HOM00029,Decor Home Item 01,Home,Decor,7.01,17.46,2023-04-10,,39,128,True
HOM-0030,HOM00030,Decor Home Item 02,Home,Decor,12.2,28.71,2024-10-05,,43,154,True
HOM-0031,HOM00031,Decor Home Item 03,Home,Decor,12.74,28.96,2023-03-28,,25,97,True
HOM-0032,HOM00032,Decor Home Item 04,Home,Decor,14.13,30.43,2023-01-30,,28,70,True
